"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X2116","Peñalolén","Electrodomésticos","30000","Vendo","2014","https://www.yapo.cl/region_metropolitana/electrodomesticos/campana_de_cocina_73708804.htm?ca=15_s&oa=73708804&xsp=35"
"X2117","Peñalolén","Muebles","30000","Vendo","2015","https://www.yapo.cl/region_metropolitana/muebles/comedor_basico_73708801.htm?ca=15_s&oa=73708801&xsp=36"
"X2118","Maipú","Servicios","30000","Profesionales liberales","2020","https://www.yapo.cl/region_metropolitana/servicios/contabilidad_para_pymes__microempresa__73594452.htm?ca=15_s&oa=73594452&xsp=37"
"X2119","Providencia","Servicios","25000","Servicios domésticos y alimenticiosFormaciónNiñeraEventos / FiestasConstrucción / ReparaciónSalud/BellezaInformáticaTraducciónProfesionales liberalesTurismo","2013","https://www.yapo.cl/region_metropolitana/servicios/terapias_alternativas_72881829.htm?ca=15_s&oa=72881829&xsp=38"
"119","Santiago","Arriendo - Departamento",NA,NA,"2016","https://www.yapo.cl/region_metropolitana/arrendar/studio_a_pasos_metro_toesca_71565959.htm?ca=15_s&oa=71565959&xsp=39"
"120","San Miguel","Arriendo - Departamento",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/arrendar/exelente_ubicacion_san_miguel_dpto_3d_1b_71269875.htm?ca=15_s&oa=71269875&xsp=40"
"X2120","Santiago","Computadores y accesorios",NA,"Vendo","2014","https://www.yapo.cl/region_metropolitana/computadores/busco_tintas_y_toner_nuevos_originales__73676518.htm?ca=15_s&oa=73676518&xsp=41"
"X2121","Puente Alto","Accesorios y piezas para vehículos","20000","Vendo","2014","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/tapas_centro_llanta_73625839.htm?ca=15_s&oa=73625839&xsp=42"
"X2122","Las Condes","Electrodomésticos","60000","Vendo","2014","https://www.yapo.cl/region_metropolitana/electrodomesticos/2_estufas_oleoelectricas_turbo_marca_heimat_73625667.htm?ca=15_s&oa=73625667&xsp=43"
"121","Independencia","Arriendo - Estacionamiento, bodega u otro",NA,NA,"2016","https://www.yapo.cl/region_metropolitana/arrendar/estacionamiento_73625652.htm?ca=15_s&oa=73625652&xsp=44"
"122","Pudahuel","Vendo - Comercial e industrial",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/comprar/propiedad_comercial_pudahuel_73593810.htm?ca=15_s&oa=73593810&xsp=45"
"X2123","San Joaquín","Servicios",NA,"Construcción / Reparación","2020","https://www.yapo.cl/region_metropolitana/servicios/fabricacion_de_estructuras_de_aluminio_de_todo_tip_73590313.htm?ca=15_s&oa=73590313&xsp=46"
"123","Santiago","Arriendo - Departamento",NA,NA,"2020","https://www.yapo.cl/region_metropolitana/arrendar/gran_oportunidad_loft_73587963.htm?ca=15_s&oa=73587963&xsp=47"
"124","Santiago","Arriendo - Departamento",NA,NA,"2014","https://www.yapo.cl/region_metropolitana/arrendar/dto_espana_con_sazie_73046656.htm?ca=15_s&oa=73046656&xsp=48"
"X2124","Puente Alto","Libros y revistas","4000","Vendo","2017","https://www.yapo.cl/region_metropolitana/libros_revistas/novela_un_hogar_dividido_73708799.htm?ca=15_s&oa=73708799&xsp=49"
